Time,Test MAE,Test RMSE
1-24h,44.389068603515625,57.0431022644043
25-48h,60.120948791503906,82.8526382446289
49-72h,56.13026428222656,82.09147644042969
SuddenChange,67.877685546875,91.16555786132812
