file_name,state,city,agency,station_location,start_month,start_month_num,start_year,latitude,longitude
TN007,Tamil Nadu,Thoothukudi,TNPCB,"Meelavittan, Thoothukudi ",November,11,2020,8.8192782,78.0908651
TN008,Tamil Nadu,Chennai,TNPCB,"Royapuram, Chennai ",November,11,2020,13.1103263,80.2838556
TN009,Tamil Nadu,Chennai,TNPCB,"Kodungaiyur, Chennai ",November,11,2020,13.1327533,80.2444773
TN010,Tamil Nadu,Chennai,TNPCB,"Perungudi, Chennai ",December,12,2020,12.9653652,80.2461057
TN011,Tamil Nadu,Gummidipoondi,TNPCB,"Anthoni Pillai Nagar, Gummidipoondi ",January,1,2021,13.4092677,80.1009796
TN012,Tamil Nadu,Hosur,TNPCB,"SIPCOT Phase 1, Hosur ",August,8,2022,12.7625268,77.7947236
TN013,Tamil Nadu,Tirupur,TNPCB,"Kumaran College, Tirupur ",August,8,2022,11.0977937,77.3222146
TN014,Tamil Nadu,Chengalpattu,TNPCB,"Crescent University, Chengalpattu ",August,8,2022,12.8748935,80.0848035
TN015,Tamil Nadu,Chennai,TNPCB,"Gandhi Nagar_Ennore, Chennai ",August,8,2022,13.2176643,80.3209625
TN016,Tamil Nadu,Vellore,TNPCB,"Vasanthapuram, Vellore ",August,8,2022,12.9137849,79.1301573
TN017,Tamil Nadu,Salem,TNPCB,"Sona College of Technology, Salem ",August,8,2022,11.6781339,78.12443880000001
TN018,Tamil Nadu,Ramanathapuram,TNPCB,"Chalai Bazaar, Ramanathapuram ",August,8,2022,9.3662788,78.83401730000001
TN019,Tamil Nadu,Dindigul,TNPCB,"Mendonsa Colony, Dindigul ",September,9,2022,10.3576289,77.9838578
TN020,Tamil Nadu,Coimbatore,TNPCB,"PSG College of Arts and Science, Coimbatore ",September,9,2022,11.0345889,77.0338623
TN021,Tamil Nadu,Ooty,TNPCB,"Bombay Castel, Ooty ",October,10,2022,11.4058852,76.71200639999999
TN022,Tamil Nadu,Kanchipuram,TNPCB,"Kilambi, Kanchipuram ",October,10,2022,12.8650525,79.6714722
TN023,Tamil Nadu,Ariyalur,TNPCB,"Keelapalur, Ariyalur ",December,12,2022,11.0453305,79.0718366
TN024,Tamil Nadu,Cuddalore,TNPCB,"Kudikadu, Cuddalore ",March,3,2023,11.520207,79.3396356
TN025,Tamil Nadu,Cuddalore,TNPCB,"Semmandalam, Cuddalore ",March,3,2023,11.7647483,79.749938
TN026,Tamil Nadu,Palkalaiperur,TNPCB,"Bharathidasan University, Palkalaiperur ",March,3,2023,10.6779768,78.7384253
TR001,Tripura,Agartala,Tripura SPCB,"Kunjaban, Agartala ",November,11,2020,23.8635079,91.2903074
TR002,Tripura,Agartala,Tripura SPCB,"Bardowali, Agartala ",March,3,2022,23.8238368,91.271808
UK001,Uttarakhand,Dehradun,UKPCB,"Doon University, Dehradun ",April,4,2022,30.26960499999999,78.0435281
UK002,Uttarakhand,Kashipur,UKPCB,"Govt. Girls Inter College, Kashipur ",February,2,2023,29.2104232,78.9618845
UK003,Uttarakhand,Rishikesh,UKPCB,"Shivaji Nagar, Rishikesh ",February,2,2023,30.0782097,78.2832069
UP001,Uttar Pradesh,Lucknow,CPCB,"Talkatora District Industries Center, Lucknow ",January,1,2010,26.8690187,80.92728249999999
UP002,Uttar Pradesh,Lucknow,CPCB,"Kendriya Vidyalaya, Lucknow ",January,1,2010,26.8466937,80.94616599999999
UP003,Uttar Pradesh,Varanasi,UPPCB,"Ardhali Bazar, Varanasi ",October,10,2010,25.3476918,82.9808861
UP004,Uttar Pradesh,Agra,UPPCB,"Sanjay Palace, Agra ",October,10,2010,27.1986569,78.0059814
UP005,Uttar Pradesh,Kanpur,UPPCB,"Nehru Nagar, Kanpur ",October,10,2010,26.4670945,80.3219999
UP006,Uttar Pradesh,Lucknow,CPCB,"Lalbagh, Lucknow ",November,11,2010,26.8459624,80.9415089
UP007,Uttar Pradesh,Noida,IMD,"Sector   62, Noida ",December,12,2012,28.627981,77.3648567
UP008,Uttar Pradesh,Noida,UPPCB,"Sector   125, Noida ",September,9,2017,28.5437925,77.3310067
